label,best_distance,best_distances_runs
"T_0=1447.2266751685745, T_min=2.431740541174478",3602.365985136932,"[np.float64(3602.365985136932), np.float64(4088.402642399481), np.float64(3671.124073803164), np.float64(3881.6651332715196), np.float64(3697.676275451445), np.float64(3980.534185449101), np.float64(4005.461742144458), np.float64(3813.5242426189952), np.float64(3939.9299565209863), np.float64(4026.6381086664132)]"
"T_0=1447.2266751685745, T_min=4.863481082348956",3528.656495904474,"[np.float64(3661.9984948464744), np.float64(3710.136636971669), np.float64(3876.653411332594), np.float64(3752.3090005587587), np.float64(3746.367349375205), np.float64(3587.140555575839), np.float64(3856.885487951117), np.float64(3528.656495904474), np.float64(3717.2660249999326), np.float64(3741.5330176332227)]"
"T_0=1929.6355668914327, T_min=2.431740541174478",3828.583803783341,"[np.float64(3975.5408719048546), np.float64(3985.164729862376), np.float64(4187.142774901893), np.float64(3899.582917945154), np.float64(4186.914484420096), np.float64(3990.4438897368937), np.float64(3828.583803783341), np.float64(3877.700229035796), np.float64(3886.24868436272), np.float64(3835.199641047557)]"
"T_0=1929.6355668914327, T_min=4.863481082348956",3523.0902605348324,"[np.float64(3523.0902605348324), np.float64(3617.26249284937), np.float64(3558.0180056631275), np.float64(3846.156955867963), np.float64(3931.603800054589), np.float64(3665.9911216439255), np.float64(3615.1036733426276), np.float64(3760.7362448230833), np.float64(3886.6036571541763), np.float64(3875.914865564234)]"
"T_0=2412.0444586142908, T_min=2.431740541174478",3457.9981402703133,"[np.float64(3688.1114467828393), np.float64(3756.4112248517204), np.float64(3457.9981402703133), np.float64(3824.8166558350367), np.float64(3725.757750321894), np.float64(4007.302815718009), np.float64(4025.458411074651), np.float64(3719.2710806796526), np.float64(3567.14481917408), np.float64(3904.392415289275)]"
"T_0=2412.0444586142908, T_min=4.863481082348956",3527.6334142586556,"[np.float64(3724.662639560874), np.float64(3792.1066869339247), np.float64(3716.333415603203), np.float64(3532.2494932693694), np.float64(3588.775524700227), np.float64(3741.078545929178), np.float64(3527.6334142586556), np.float64(3672.0711092889983), np.float64(3583.0129474232185), np.float64(3656.2460250813197)]"
