label,best_distance,best_distances_runs
"T_0=400, T_min=1, Iterations=100",4717.21770826829,"[np.float64(4717.21770826829), np.float64(5077.834786204648), np.float64(4808.448761633208), np.float64(4895.489341150686), np.float64(4986.468527968236), np.float64(5170.415719992333), np.float64(4989.200912490387), np.float64(4805.992367980297), np.float64(5088.749914623523), np.float64(4968.254804996443)]"
"T_0=400, T_min=1, Iterations=10000",2904.307896842485,"[np.float64(2951.9312990643884), np.float64(2904.307896842485), np.float64(3150.1526307524664), np.float64(3081.1556623240263), np.float64(3076.2539142103487), np.float64(3032.272883826886), np.float64(3047.292831919818), np.float64(3037.057696090654), np.float64(3129.4985336842096), np.float64(3146.935784901945)]"
"T_0=400, T_min=1, Iterations=10000000",2955.1028809380987,"[np.float64(2955.1028809380987), np.float64(3029.33617483563), np.float64(2986.2362658212496), np.float64(3107.934731069148), np.float64(3080.951502842634), np.float64(2973.6395955508124), np.float64(3120.5816945654133), np.float64(3147.704007293659), np.float64(3041.3068603468146), np.float64(3049.446899376112)]"
"T_0=40, T_min=1, Iterations=100",2688.4062133598154,"[np.float64(2725.013928964441), np.float64(2719.103064762019), np.float64(2782.1883047269707), np.float64(2779.6321875772087), np.float64(2688.4062133598154), np.float64(2767.6443253189154), np.float64(2744.7682197430495), np.float64(2824.124240668959), np.float64(2706.8800311314376), np.float64(2689.142470590052)]"
"T_0=40, T_min=1, Iterations=10000",2643.2353218501084,"[np.float64(2749.571705574455), np.float64(2718.4009353812244), np.float64(2686.717234701871), np.float64(2698.619701646517), np.float64(2758.7425010617744), np.float64(2803.760204174446), np.float64(2776.8863805386895), np.float64(2643.2353218501084), np.float64(2680.88412419328), np.float64(2731.907743693451)]"
"T_0=40, T_min=1, Iterations=10000000",2662.1305832368485,"[np.float64(2759.3062845656113), np.float64(2732.4627212920154), np.float64(2756.8618658158703), np.float64(2697.4315004628215), np.float64(2687.3606996903222), np.float64(2667.5426817718576), np.float64(2744.9210446732172), np.float64(2822.00489937795), np.float64(2662.1305832368485), np.float64(2766.6670175120057)]"

