label,best_distance,best_distances_runs
"T_0=400, T_min=1, Iterations=100",2598.9862145059797,"[np.float64(2636.9248868411055), np.float64(2630.2390836274594), np.float64(2701.5563309408913), np.float64(2598.9862145059797), np.float64(2685.8502612223474), np.float64(2717.3173195675727), np.float64(2687.6659953954836), np.float64(2675.5869731879607), np.float64(2648.641342697127), np.float64(2661.5869364695463)]"
"T_0=400, T_min=1, Iterations=10000",2622.405774481291,"[np.float64(2667.682367380116), np.float64(2641.576766976558), np.float64(2630.8514777611585), np.float64(2675.834940458507), np.float64(2622.405774481291), np.float64(2652.1774796799423), np.float64(2648.609288990867), np.float64(2708.151126789961), np.float64(2662.4692856016004), np.float64(2650.0784696133405)]"
"T_0=400, T_min=1, Iterations=10000000",2614.9986645879467,"[np.float64(2632.1561271629), np.float64(2711.1704063641314), np.float64(2641.8989810347734), np.float64(2621.8339070168804), np.float64(2614.9986645879467), np.float64(2630.068677444329), np.float64(2628.3292619292297), np.float64(2685.4352500547943), np.float64(2673.673224212236), np.float64(2653.9597475337564)]"
"T_0=40, T_min=1, Iterations=100",2616.617637375185,"[np.float64(2681.859102408813), np.float64(2637.262901236739), np.float64(2644.7751441271143), np.float64(2676.9771249005266), np.float64(2637.7611651658285), np.float64(2644.152413779316), np.float64(2622.750926899487), np.float64(2616.617637375185), np.float64(2732.8911161646406), np.float64(2658.1371951709725)]"
"T_0=40, T_min=1, Iterations=10000",2601.030542547522,"[np.float64(2617.218350742867), np.float64(2636.2756899749147), np.float64(2633.7506028207663), np.float64(2623.793748699397), np.float64(2636.6923643165105), np.float64(2667.267292820112), np.float64(2682.2947977623967), np.float64(2696.347710637848), np.float64(2601.030542547522), np.float64(2659.535223684317)]"
"T_0=40, T_min=1, Iterations=10000000",2589.0158588143904,"[np.float64(2660.1543877699946), np.float64(2655.446252870089), np.float64(2679.760285102264), np.float64(2663.727512404051), np.float64(2696.964898921949), np.float64(2636.0769324334988), np.float64(2623.3786375626532), np.float64(2589.0158588143904), np.float64(2638.6110046080225), np.float64(2622.477495144742)]"
