label,best_distance,best_distances_runs
"T_0=400, T_min=1, Iterations=100",2620.7916862271672,"[np.float64(2622.516200194493), np.float64(2680.6854540799673), np.float64(2673.8424935994635), np.float64(2695.176032445543), np.float64(2675.721727387164), np.float64(2624.0636875088976), np.float64(2662.0393284870374), np.float64(2685.9276486751432), np.float64(2701.0254600082276), np.float64(2620.7916862271672)]"
"T_0=400, T_min=1, Iterations=10000",2637.125087841079,"[np.float64(2637.125087841079), np.float64(2734.540362188687), np.float64(2708.420416646496), np.float64(2704.9490492547397), np.float64(2750.367364534131), np.float64(2698.6198159327473), np.float64(2666.019465698669), np.float64(2709.407424645359), np.float64(2743.8369440075835), np.float64(2766.1480664364426)]"
"T_0=400, T_min=1, Iterations=10000000",2592.9979836664784,"[np.float64(2727.5351544337727), np.float64(2703.5300664027295), np.float64(2680.9118776300143), np.float64(2750.2448628322595), np.float64(2739.3341752997762), np.float64(2762.710577664921), np.float64(2592.9979836664784), np.float64(2648.280242523635), np.float64(2768.694890132949), np.float64(2733.2446685751047)]"
"T_0=40, T_min=1, Iterations=100",2589.9730153567775,"[np.float64(2630.2917500514363), np.float64(2656.989255659942), np.float64(2611.31996552822), np.float64(2648.9155459317767), np.float64(2589.9730153567775), np.float64(2673.023895976082), np.float64(2643.512723949907), np.float64(2627.439145881406), np.float64(2738.861937847337), np.float64(2688.4796358135727)]"
"T_0=40, T_min=1, Iterations=10000",2618.062865007995,"[np.float64(2618.062865007995), np.float64(2681.677481380467), np.float64(2796.445705970796), np.float64(2786.7254966084433), np.float64(2653.0981188248365), np.float64(2719.076016489483), np.float64(2714.199661882631), np.float64(2689.864269186474), np.float64(2703.3442872893324), np.float64(2752.44263185394)]"
"T_0=40, T_min=1, Iterations=10000000",2646.985989359353,"[np.float64(2675.120417718331), np.float64(2750.6802035939286), np.float64(2694.726330922094), np.float64(2788.765745943153), np.float64(2688.7730660802927), np.float64(2692.052884431328), np.float64(2646.985989359353), np.float64(2738.993547331176), np.float64(2729.6946119164977), np.float64(2704.072817608411)]"

